title,artist,albumTitle,bpm,key,comment,year,location
Killer,"Adamski, Seal",Doctor Adamski’s Musical Pharmacy,119.984528,8M,"House; Progressive House; soaring organ stabs, euphoric piano chords, soulful vocal hooks; peak-time rave euphoria meets crossover appeal; UK, early 90s acid house summer.",1990,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Killer.mp3
Like Sugar,Chaka Khan,Hello Happiness,107.244942,12M,"Disco; Nu-Disco; shimmering strings, funky bassline, lush vocals, polished modern production; sophisticated dance floor elegance with timeless diva energy; US, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Like Sugar.mp3
Make It Last Forever,Inner Life,Inner Life,100.773468,12M,"Disco; Boogie; lush orchestral strings, silky bassline, sultry female vocals, romantic arrangement; sophisticated late-night dancefloor elegance; New York, early 80s transitional era.",1981,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Make It Last Forever.mp3
Meeting In The Ladies Room - Radio Edit,Klymaxx,Gold - '80s Soul,127.935326,4M,"Funk; Electro-Funk; punchy synth bass, vocoder hooks, infectious claps, sassy call-and-response vocals; vibrant 80s dancefloor empowerment anthem; Los Angeles, mid-80s classic reissued.",2006,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Meeting In The Ladies Room - Radio Edit.mp3
Pump Up The Jam - Edit,"Technotronic, Felly",Best Of,124.78154,10M,"House; Belgian New Beat; punchy drum machines, infectious hip-house vocal hooks, raw piano stabs; high-energy rave nostalgia meets crossover dance floors; Belgium, early 90s reissue.",2011,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Pump Up The Jam - Edit.mp3
Rapture,Blondie,Atomic/Atomix,107.508995,2M,"New Wave; Post-Disco; funky bassline, rap-sung verses, sparse synth stabs, live drums; downtown Manhattan art-punk meets uptown groove; New York, 1980.",1999,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Rapture.mp3
"Reasons to Be Cheerful, Pt. 3","Ian Dury, The Blockheads",Sex & Drugs & Rock & Roll,118.144089,1M,"Pub Rock; New Wave Funk; cheeky spoken-word vocals, punchy horn stabs, infectious groove bass; witty British working-class celebration; UK, late 70s swagger.",1987,"/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Reasons to Be Cheerful, Pt. 3.mp3"
S.I.B. - Swelling Itching Brain,DEVO,Duty Now For The Future,184.399673,11M,"Post-Punk; Art Punk; frenetic angular guitars, mechanical rhythms, neurotic vocals, raw lo-fi energy; spastic new wave defiance from Ohio's art-rock provocateurs; Akron, late 70s.",1978,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/S.I.B. - Swelling Itching Brain.mp3
Self Control (feat. Xavier & ROY INC.),"Horse Meat Disco, ROY INC., Xavier",Love And Dancing,117.99987,1M,"Disco; Nu-Disco; lush vocal harmonies, groovy bassline, shimmering synth layers; euphoric dancefloor revivalism with modern production polish; UK collective collab, 2020.",2020,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Self Control (feat. Xavier & ROY INC.).mp3
Seventh Heaven - Levan Mix,Gwen Guthrie,Genius Of Time,107.373161,3M,"Classic Disco; Soulful Vocal House; lush strings, shimmering percussion, uplifting diva vocals, Larry Levan's legendary mixing finesse; Paradise Garage euphoria; NYC, early 80s reissue.",2015,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Seventh Heaven - Levan Mix.mp3
Sisters Are Doin' It for Themselves,"Eurythmics, Annie Lennox, Dave Stewart, Aretha Franklin",Greatest Hits,136.792526,9M,"Pop/Rock; Empowerment Anthem; powerful dual vocals, punchy horn sections, gospel-tinged piano stabs; feminist solidarity celebration; UK/US collaboration, mid-80s classic reissued.",1991,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Sisters Are Doin' It for Themselves.mp3
Somebody Else's Guy - Original,Jocelyn Brown,Somebody Else's Guy,103.031441,6M,"R&B/Soul; Boogie/Post-Disco; lush string arrangements, punchy bassline, emotive powerhouse vocals; sophisticated dancefloor heartbreak anthem; New York, mid-80s crossover classic.",1984,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Somebody Else's Guy - Original.mp3
Straight Up,Paula Abdul,Forever Your Girl,95.858383,12M,"Pop; Dance-Pop; punchy swing beats, crisp synth stabs, infectious vocal hooks; glossy West Coast studio production; Los Angeles, late 80s.",1988,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Straight Up.mp3
Sweet Dreams (Are Made of This) - Remastered,"Eurythmics, Annie Lennox, Dave Stewart",Sweet Dreams (Are Made Of This),125.16626,10M,"New Wave; Synth-pop; hypnotic bassline, minimalist synth stabs, marching beat, stark production; moody electronic pop with androgynous vocals; UK, early 80s.",1983,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Sweet Dreams (Are Made of This) - Remastered.mp3
Vibeology,Paula Abdul,Spellbound,117.976799,6M,"Pop; Dance-pop; funky slap bass, new jack swing rhythms, layered vocal harmonies, crisp drum programming; celebratory club-ready grooves; US, early 90s crossover era.",1991,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Vibeology.mp3
Vienna - 2008 Remaster,Ultravox,Vienna (Remastered Definitive Edition),79.59095,12D,"New Wave; Synth-pop; sweeping orchestral synths, melancholic piano hooks, dramatic string arrangements; cinematic Cold War romanticism; UK, 1980.",1980,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Vienna - 2008 Remaster.mp3
What Have You Done For Me Lately,Janet Jackson,Control,114.050697,7M,"R&B; New Jack Swing; crisp drum machines, funky bass syncopation, angular synth stabs; assertive empowerment anthem for metropolitan dancefloors; Minneapolis Sound meets mid-80s sophistication.",1986,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/What Have You Done For Me Lately.mp3
Wordy Rappinghood,Tom Tom Club,Wordy Rappinghood,121.800171,2M,"New Wave; Post-Punk Funk; playful bass grooves, tribal percussion, quirky vocal chants; downtown NYC art-funk experimentation meets danceable absurdism; US, early 80s.",1982,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Wordy Rappinghood.mp3
You Gonna Make Me Love Somebody Else,The Jones Girls,The Jones Girls,104.564842,4M,"Disco; Philly Soul; lush orchestral strings, syncopated bass grooves, powerful sisterly harmonies; classic Studio 54 heartbreak anthem; Philadelphia, late 70s.",1979,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/You Gonna Make Me Love Somebody Else.mp3
"Your Love (12"" Mix) [Remastered]",Frankie Knuckles,Greatest - Frankie Knuckles,116.807869,1D,"House; Deep House; hypnotic piano stabs, soulful vocal loops, warm bassline, stripped-back drum machine grooves; pioneering Chicago warehouse euphoria; USA, late 80s remastered classic.",2014,"/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - 80 synth/Your Love (12"" Mix) [Remastered].mp3"
After Laughter (Comes Tears),Wendy Rene,"Light In The Attic 10 Year Anniversary: Wendy Rene ""After Laughter (Comes Tears)""",93.344902,5M,"Soul; Northern Soul; raw emotional vocal, sparse drums, haunting organ stabs, vintage Memphis grit; heartbreak dancefloor classic that bridges mod clubs and crate-digger sets; US South, mid-1960s.",2012,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/After Laughter (Comes Tears).mp3
Apache (Jump On It),The Sugarhill Gang,The Sugarhill Records Story,114.961349,1M,"Hip-Hop; Old School Rap; infectious Native American-inspired break beats, call-and-response vocals, funky bass grooves; playful party anthem energy; New York, early 80s original/90s reissue.",1999,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Apache (Jump On It).mp3
Be Faithful,"Fatman Scoop, The Crooklyn Clan","Fatman Scoop ""Hottest Featured Artist Recordings""",101.046944,12D,"Crunk; Party Rap; aggressive call-and-response vocals, thunderous bass drops, minimalist horn stabs; sweaty club anthem energy; NYC/Southern US crossover, mid-2000s peak era.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Be Faithful.mp3
Because I Got It Like That,Jungle Brothers,Straight Out The Jungle,205.859436,4M,"Hip-Hop; Golden Age Boom Bap; playful jazz-infused samples, laid-back breakbeats, Afrocentric consciousness; foundational Native Tongues collective vibes; New York City, late 80s.",1988,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Because I Got It Like That.mp3
Boys Wanna Be Her,Peaches,Impeach My Bush,139.000137,2M,"Electroclash; Electro-punk; distorted vocals, aggressive synth stabs, raw drum machine programming; provocative queer club anthem with confrontational attitude; Canada/Berlin, mid-2000s.",2006,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Boys Wanna Be Her.mp3
Buddy,"De La Soul, Jungle Brothers, Phife, Q-Tip","Rap Story, Vol. 1",99.194382,8M,"Hip-Hop; Native Tongues Jazz Rap; boom-bap breaks, upright bass loops, conversational flows, collaborative posse cut energy; golden era nostalgia meets late 90s underground renaissance; New York, 1998.",1998,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Buddy.mp3
Cha Cha Cha,MC Lyte,The Very Best Of MC Lyte,91.296814,11D,"Hip Hop; Pop Rap; polished vocal delivery, crisp percussion, radio-ready production; confident, party-ready anthem with crossover appeal; US, late 2000s.",2009,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Cha Cha Cha.mp3
Chuck Baby,Chuck Brown,We're About the Business,93.000275,6M,"Go-Go; Funk; syncopated congas, punchy brass stabs, call-and-response vocals, infectious pocket groove; Washington DC street party energy; District of Columbia, late 2000s.",2007,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Chuck Baby.mp3
Cocaine in My Brain,Dillinger,The Best of Dillinger,93.710037,5M,"Reggae; Roots/Dub; hypnotic bassline, shuffling percussion, raw vocal toasting, stripped-back production; gritty Kingston soundsystem culture; Jamaica, mid-1970s classic reissue.",2011,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Cocaine in My Brain.mp3
Cos-Ber-Zam Ne Noya - Daphni Mix,Daphni,Jiaolong,119.998672,12M,"House; Psychedelic/Balearic; hypnotic percussion loops, dubbed-out effects, organic rhythms, ethereal atmosphere; sun-drenched Mediterranean coastline sessions; Canada/UK, early 2010s.",2012,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Cos-Ber-Zam Ne Noya - Daphni Mix.mp3
Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z",Dangerously In Love,198.52948,11M,"R&B; Hip-Hop Soul; iconic horn stabs, aggressive beats, sultry vocals over swagger-laden rap verse; unstoppable early-2000s pop dominance; US, 2003.",2003,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Crazy In Love (feat. Jay-Z).mp3
Crumbs Off The Table,Laura Lee,Hot Wax & Invictus - Most Sampled,96.830772,11M,"Soul; Deep Soul; gritty analog warmth, raw emotional vocals, sparse rhythm section; Detroit blue-collar storytelling intensity; USA, late 2000s revival.",2009,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Crumbs Off The Table.mp3
Definition,Black Star,Mos Def & Talib Kweli Are Black Star,89.890396,6M,"Hip-Hop; Conscious Rap; warm bassline, crisp boom-bap drums, jazz-flecked samples, meditative flow; introspective Brooklyn underground cipher energy; NYC, late 90s golden era.",1998,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Definition.mp3
Description of a Fool,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),107.967026,11M,"Hip Hop; Jazz Rap; laid-back boom-bap drums, smoky jazz samples, conversational flow; golden era Native Tongues consciousness; New York, early 90s.",1990,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Description of a Fool.mp3
Dolly My Baby (with Mary J. Blige feat. Notorious B.I.G. & Third Eye) - Extended Hip Hop Remix,"Super Cat, The Notorious B.I.G., Third Eye, Mary J. Blige",Dolly My Baby,83.61824,11M,"Hip Hop; Dancehall Rap; reggae-infused riddim, soulful vocals, commanding MC flow, laid-back groove; golden era New York meets Kingston fusion; NYC/Jamaica, early 90s.",1992,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Dolly My Baby (with Mary J. Blige feat. Notorious B.I.G. & Third Eye) - Extended Hip Hop Remix.mp3
Don't Play No Game That I Can't Win,"Beastie Boys, Santigold",Hot Sauce Committee (Pt. 2),103.034416,11M,"Hip-Hop; Alternative Rap/Indie Crossover; punchy brass stabs, vintage funk breaks, call-and-response vocals; swagger-filled collaborative energy meets indie cool; US, early 2010s.",2011,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Don't Play No Game That I Can't Win.mp3
Don't Sweat The Technique - BL Socks Remix,"Eric B. & Rakim, BL Socks",Don't Sweat The Technique (BL Socks Remix),105.905357,6M,"Hip-Hop; Boom Bap Remix; crisp breakbeats, jazzy samples, golden-era vocal chops with modern polish; nostalgic head-nodder meets contemporary production sheen; US, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Don't Sweat The Technique - BL Socks Remix.mp3
Doo Wop (That Thing),Ms. Lauryn Hill,The Miseducation of Lauryn Hill,99.904991,12M,"Hip-Hop; Neo-Soul; doo-wop samples, live drums, conscious lyricism, dual-gender narrative warnings; empowering 90s East Coast feminist anthem; USA, late 90s.",1998,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Doo Wop (That Thing).mp3
Electric Relaxation,A Tribe Called Quest,The Anthology,98.231293,7M,"Hip-Hop; Jazz Rap; smooth bassline, laid-back drums, sultry vocal samples; sophisticated late-night cipher vibes; East Coast US, mid-90s golden era.",1999,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Electric Relaxation.mp3
Energy,"Stace Cadet, KLP",Energy,125.000084,9M,"House; Filter House; chunky bassline, sweeping filters, punchy kicks, euphoric vocal chops; peak-time festival energy with Australian flair; Australia, 2020.",2020,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Energy.mp3
Formation,Beyoncé,Lemonade,61.000034,9M,"R&B; Trap-Soul; booming 808s, sparse minimalist production, swaggering brass stabs; empowering political anthem with Southern swagger; USA, mid-2010s.",2016,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Formation.mp3
Get Your Dance On,Fatman Scoop,"Fatman Scoop ""Hottest Featured Artist Recordings""",114.999962,5D,"Hip Hop; Crunk/Party Rap; booming vocal chants, aggressive horn stabs, club-ready breaks; high-energy anthemic crowd hype; NYC, late 2000s peak club era.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Get Your Dance On.mp3
Gimme That,"Ali B, Jungle Brothers",Gimme That,88.000191,1D,"Hip Hop; Boom Bap; dusty breaks, punchy drums, old-school sampling, golden-era influences; nostalgic block party vibes meet contemporary Dutch urban energy; Netherlands/US collaboration, mid-2010s.",2016,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Gimme That.mp3
Got 'Til It's Gone,"Janet Jackson, Q-Tip, Joni Mitchell",The Velvet Rope,89.994606,12D,"R&B; Neo-Soul/Trip-Hop Fusion; downtempo jazz-sampling, dusty breaks, sitar textures, Q-Tip's smooth flow over sultry vocals; late-night introspective grooves with Native Tongues influence; US, mid-90s golden era.",1997,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Got 'Til It's Gone.mp3
Got to Be Real,Cheryl Lynn,Cheryl Lynn (Expanded Edition),114.654068,1D,"Disco; Funk-Disco; punchy brass stabs, infectious rhythm guitar, soaring vocals, lush strings; peak Studio 54 euphoria capturing authentic dancefloor liberation; USA, late 70s.",1978,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Got to Be Real.mp3
Groove Is in the Heart - Meeting the Minds Mix,"Deee-Lite, Meeting the Minds",Groove Is in the Heart,121.432571,6M,"House; Funky House; infectious bass line, disco samples, playful horns, organic percussion; euphoric dancefloor energy with retro-future funk vibes; New York, early 90s crossover club anthem.",1990,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Groove Is in the Heart - Meeting the Minds Mix.mp3
I Like It (I Wanna Be Where You Are),Grand Puba,2000,95.294548,7M,"Hip-Hop; Boom Bap/Jazz Rap; smooth jazz samples, laid-back drums, soulful vocal loops; mellow East Coast golden era sophistication; New York, mid-90s.",1995,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/I Like It (I Wanna Be Where You Are).mp3
I'm Bad,LL Cool J,Bigger And Deffer,89.592796,4M,"Hip-Hop; Golden Age Rap; hard-hitting drum machine, minimal bass groove, aggressive vocal delivery; braggadocious street swagger defining New York's pioneering rap movement; Queens, late 80s.",1987,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/I'm Bad.mp3
Iko Iko,The Dixie Cups,Chapel of Love,100.766899,2M,"Soul; New Orleans R&B; call-and-response vocals, hand percussion, infectious Mardi Gras chant; carefree party anthem with Creole roots; Louisiana, mid-60s.",1964,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Iko Iko.mp3
Inside Out,Tirzah,I'm Not Dancing,88.001053,11M,"R&B; Experimental Soul; skeletal percussion, dubbed-out textures, intimate whispered vocals; late-night bedroom introspection meets UK bass minimalism; London, early 2010s.",2013,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Inside Out.mp3
Jayou,Jurassic 5,J 5 (Deluxe Edition),98.984062,6M,"Hip-Hop; Boom Bap; crisp boom-bap drums, jazz-infused samples, interweaving group vocals; golden-era inspired conscious crew energy; Los Angeles, late 2000s.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Jayou.mp3
Let Me Clear My Throat - Old School Reunion Remix '96,DJ Kool,Let Me Clear My Throat,102.358383,2M,"Hip-Hop; Party Breaks; infectious vocal chants, funky breakbeat loops, call-and-response energy; legendary '90s East Coast block party anthem; Washington D.C., mid-90s golden era.",1996,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Let Me Clear My Throat - Old School Reunion Remix '96.mp3
Make Believe Mambo,David Byrne,Rei Momo,58.667629,1D,"Latin; Experimental Mambo; slow-burn percussion, playful brass stabs, unconventional tempo, quirky arrangements; art-pop meets tropical curiosity; New York, late 80s post-Talking Heads exploration.",1989,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Make Believe Mambo.mp3
Me Myself And I,De La Soul,"Rap Story, Vol. 1",114.34539,1M,"Hip Hop; Alternative Rap; jazz-flipped loops, mellow bassline, conversational flow; introspective golden-era boom-bap with philosophical street poetry; New York, late 80s.",1998,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Me Myself And I.mp3
Miss Broadway,Belle Epoque,Black Is Black,108.092674,7M,"Disco; Euro Disco; lush orchestral strings, groovy bassline, glamorous vocal arrangements; sophisticated dancefloor elegance with theatrical European flair; France/Netherlands, mid-70s reissue.",2006,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Miss Broadway.mp3
Monie in the Middle,Monie Love,Down to Earth,115.023125,10M,"Hip Hop; Golden Age Rap; bouncy breakbeats, jazzy samples, call-and-response vocals; playful British-American crossover anthem; UK/US collaboration, early 90s.",1990,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Monie in the Middle.mp3
More Bounce to the Ounce,Zapp,All the Greatest Hits,105.229004,12M,"Funk; Electro-Funk; talk box vocals, thick synth bass, hypnotic groove, drum machine precision; West Coast party anthem; Ohio, early 80s reissue.",1993,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/More Bounce to the Ounce.mp3
NEW DORP. NEW YORK,"SBTRKT, Ezra Koenig",Wonder Where We Land,118.999878,1D,"Future Garage; Experimental Electronic; glitchy percussion, pitched vocal chops, syncopated bass wobbles, atmospheric pads; introspective urban storytelling meets deconstructed club experimentation; UK production aesthetic with US indie crossover, mid-2010s.",2014,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/NEW DORP. NEW YORK.mp3
Night and Day,Dawn Penn,"No, No, No",65.512482,9M,"Reggae; Lovers Rock; sultry vocals over hypnotic bassline, vintage Studio One riddim, sparse percussion; romantic Kingston bedroom vibes; Jamaica, 90s reissue of 60s classic.",1994,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Night and Day.mp3
Not About You (feat. Hadiya George) - KDA 'Legacy' Extended Remix,"Honey Dijon, Hadiya George, KDA",Beyond,126.000328,8M,"House; Jackin' House; chopped vocal stabs, punchy percussion, rolling bassline; empowering dancefloor anthem with soulful attitude; UK remix heritage, 2020.",2020,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Not About You (feat. Hadiya George) - KDA 'Legacy' Extended Remix.mp3
Peachfuzz,KMD,Mr. Hood,113.80162,12M,"Hip-Hop; Jazz Rap; laid-back boom-bap drums, dusty sample layers, smooth bassline; golden era NYC underground consciousness; Long Island, early 90s.",1991,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Peachfuzz.mp3
Poison,Bell Biv DeVoe,Poison,111.83625,4M,"R&B; New Jack Swing; infectious hip-hop beats, silky vocal harmonies, punchy synth stabs; seductive late-night slow-grind anthem; Boston, early 90s crossover era.",1990,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Poison.mp3
Pop Boy (feat. Aitch),"Stormzy, Aitch",Heavy Is The Head,110.000153,2M,"UK Rap; Grime-influenced Hip-Hop; slick 808s, punchy snares, minimalist melodies, confident dual-vocal swagger; chest-out club anthem celebrating success; London, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Pop Boy (feat. Aitch).mp3
Protect Ya Neck,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],102.056854,6M,"Hip-Hop; Hardcore Rap; raw sampling, gritty bassline, rotating vocal attacks from nine MCs; legendary Staten Island posse cut defining East Coast's grimy renaissance; New York, golden era early 90s.",1993,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Protect Ya Neck.mp3
Pubic Enemy,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),109.924683,5D,"Hip-Hop; Jazz Rap; sample-heavy production, laid-back bass, intricate drum breaks; golden era NYC boom-bap innovation; New York, early 90s.",1990,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Pubic Enemy.mp3
Push It Along,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),94.605156,9M,"Hip-Hop; Jazz Rap; laid-back breakbeats, smooth upright bass, playful scratches, conversational flow; Native Tongues positivity and Afrocentric consciousness; New York, golden era boom-bap.",1990,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Push It Along.mp3
Put Your Hands Where My Eyes Could See,Busta Rhymes,When Disaster Strikes...,99.381996,6M,"Hip-Hop; East Coast Boom Bap; thunderous P-Funk sample, gritty breakbeats, signature wild vocal delivery; golden era New York street energy; USA, late 90s.",1997,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Put Your Hands Where My Eyes Could See.mp3
Quality Control,Jurassic 5,Quality Control,88.304276,6M,"Hip-Hop; Jazzy Boom Bap; crisp drum breaks, warm upright bass, vintage horn stabs, vinyl crackle; golden-era underground cipher energy; Los Angeles, Y2K millennial backpack renaissance.",2000,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Quality Control.mp3
Rockit,Herbie Hancock,The Best Of Herbie Hancock - The Hits!,111.356194,1D,"Electro-Funk; Hip-Hop Fusion; groundbreaking turntable scratching, robotic vocoder stabs, syncopated bass synth; pioneering MTV-era urban innovation; US, 1983.

*Note: Year corrected to 1983 - ""Rockit"" was released then, not 1973, revolutionizing music videos and electronic funk production.*",1973,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Rockit.mp3
Rollin' (feat. Society Of Soul),"Dungeon Family, Society Of Soul",Even In Darkness,154.759644,5M,"Southern Hip-Hop; Dirty South; uptempo breakbeat funk, soulful vocal layers, organic percussion grooves; ATL collective vibes blending conscious rap with throwback soul; Georgia, early 2000s.",2001,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Rollin' (feat. Society Of Soul).mp3
Ruby Lee,Bill Withers,'Justments,113.129379,10M,"Soul; Deep Soul/Funk; warm Rhodes keys, tight rhythm guitar, intimate vocal delivery, smooth bass pocket; classic Lean On Me era craftsmanship; US, mid-70s.",1974,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Ruby Lee.mp3
Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,109.564156,10M,"Art Pop; Alternative Rock; atmospheric drum machine, cascading synths, ethereal vocals with dramatic build; emotional peak-time journey through British avant-garde; UK, mid-80s.",1985,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Running Up That Hill (A Deal With God).mp3
Sandwiches,Detroit Grand Pubahs,Funk All Y'all,133.979874,1M,"Electroclash; Dirty House; raw analog synths, punchy drum machines, quirky vocal samples; irreverent underground party vibes; Detroit, early 2000s.",2001,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Sandwiches.mp3
Seven Nation Army,Nostalgia 77,The Garden,89.892944,3M,"Downtempo; Cinematic Hip-Hop; smoky jazz horns, head-nodding breaks, atmospheric strings, gritty sampling; moody lounge noir aesthetic; UK, mid-2000s.",2005,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/DJ Styx - New Sound 2/Seven Nation Army.mp3
